Particle: X:[6.69342, -88.5089, 0] v: [0.213004, -9.94807, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[1.04185, -89.0564, 0] v: [-0.239451, -10.0028, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[4.74275, -78.8682, 0] v: [0.018132, -9.88206, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[4.15852, -78.5993, 0] v: [0.0719055, -9.8552, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[5.6034, -90.2379, 0] v: [0.104111, -10.0087, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[3.31133, -89.1453, 0] v: [-0.0127289, -9.8995, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[6.49825, -76.829, 0] v: [0.193506, -9.79048, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[2.41416, -78.695, 0] v: [-0.102357, -9.97689, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[4.26785, -89.9353, 0] v: [-0.0293104, -9.86629, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[3.911, -91.3321, 0] v: [0.0471773, -10.0058, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[6.75602, -85.1507, 0] v: [0.10712, -10.0611, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[2.76391, -84.7399, 0] v: [0.0447216, -10.0201, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[3.8101, -85.8882, 0] v: [-0.187178, -10.0227, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[3.98019, -86.1971, 0] v: [0.166228, -10.0535, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[7.62731, -84.5231, 0] v: [0.194162, -10.1106, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[1.67631, -82.583, 0] v: [-0.0639301, -9.91676, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[4.52198, -85.2486, 0] v: [-0.116061, -9.84663, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[3.68762, -85.1562, 0] v: [0.137, -9.8374, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
Particle: X:[5.40126, -83.245, 0] v: [-0.0282205, -10.095, 0] f: [0, 0, 0] old_f: [0, 0, 0] type: 2
